id,name,city_id/id
zip_sv_0601_01101,01101,city_sv_0601
zip_sv_0605_01115,01115,city_sv_0605
zip_sv_0602_01116,01116,city_sv_0602
zip_sv_0602_01117,01117,city_sv_0602
zip_sv_0601_01118,01118,city_sv_0601
zip_sv_0601_01119,01119,city_sv_0601
zip_sv_0601_01120,01120,city_sv_0601
zip_sv_0601_01121,01121,city_sv_0601
zip_sv_0603_01122,01122,city_sv_0603
zip_sv_0604_01123,01123,city_sv_0604
zip_sv_0603_01124,01124,city_sv_0603
zip_sv_0603_01125,01125,city_sv_0603
zip_sv_0604_01126,01126,city_sv_0604
zip_sv_0605_01127,01127,city_sv_0605
zip_sv_0605_01128,01128,city_sv_0605
zip_sv_0602_01129,01129,city_sv_0602
zip_sv_0605_01130,01130,city_sv_0605
zip_sv_0605_01131,01131,city_sv_0605
zip_sv_0602_01132,01132,city_sv_0602
zip_sv_0901_01201,01201,city_sv_0901
zip_sv_0902_01202,01202,city_sv_0902
zip_sv_0901_01203,01203,city_sv_0901
zip_sv_0902_01204,01204,city_sv_0902
zip_sv_0902_01206,01206,city_sv_0902
zip_sv_0901_01207,01207,city_sv_0901
zip_sv_0902_01208,01208,city_sv_0902
zip_sv_0901_01209,01209,city_sv_0901
zip_sv_0901_01210,01210,city_sv_0901
zip_sv_0403_01301,01301,city_sv_0403
zip_sv_0401_01302,01302,city_sv_0401
zip_sv_0702_01302,01302,city_sv_0702
zip_sv_0403_01303,01303,city_sv_0403
zip_sv_0403_01304,01304,city_sv_0403
zip_sv_0403_01305,01305,city_sv_0403
zip_sv_0402_01306,01306,city_sv_0402
zip_sv_0403_01307,01307,city_sv_0403
zip_sv_0403_01308,01308,city_sv_0403
zip_sv_0401_01309,01309,city_sv_0401
zip_sv_0403_01311,01311,city_sv_0403
zip_sv_0401_01312,01312,city_sv_0401
zip_sv_0403_01313,01313,city_sv_0403
zip_sv_0402_01314,01314,city_sv_0402
zip_sv_0401_01315,01315,city_sv_0401
zip_sv_0403_01316,01316,city_sv_0403
zip_sv_0403_01317,01317,city_sv_0403
zip_sv_0403_01318,01318,city_sv_0403
zip_sv_0401_01319,01319,city_sv_0401
zip_sv_0403_01320,01320,city_sv_0403
zip_sv_0403_01321,01321,city_sv_0403
zip_sv_0403_01322,01322,city_sv_0403
zip_sv_0403_01324,01324,city_sv_0403
zip_sv_0403_01325,01325,city_sv_0403
zip_sv_0401_01326,01326,city_sv_0401
zip_sv_0403_01327,01327,city_sv_0403
zip_sv_0401_01328,01328,city_sv_0401
zip_sv_0402_01329,01329,city_sv_0402
zip_sv_0403_01330,01330,city_sv_0403
zip_sv_0403_01331,01331,city_sv_0403
zip_sv_0403_01332,01332,city_sv_0403
zip_sv_0401_01333,01333,city_sv_0401
zip_sv_0401_01334,01334,city_sv_0401
zip_sv_0401_01335,01335,city_sv_0401
zip_sv_0702_01401,01401,city_sv_0702
zip_sv_0702_01403,01403,city_sv_0702
